location,date,old_cases
Afghanistan,2020-02-24,5
Afghanistan,2020-02-25,5
Afghanistan,2020-02-26,5
Afghanistan,2020-02-27,5
Afghanistan,2020-02-28,5
Afghanistan,2020-02-29,5
Afghanistan,2020-03-01,5
Afghanistan,2020-03-02,5
Afghanistan,2020-03-03,5
Afghanistan,2020-03-04,5
Afghanistan,2020-03-05,5
Afghanistan,2020-03-06,5
Afghanistan,2020-03-07,8
Afghanistan,2020-03-08,8
Afghanistan,2020-03-09,8
Afghanistan,2020-03-10,8
Afghanistan,2020-03-11,11
Afghanistan,2020-03-12,11
Afghanistan,2020-03-13,11
Afghanistan,2020-03-14,14
Afghanistan,2020-03-15,20
Afghanistan,2020-03-16,25
Afghanistan,2020-03-17,26
Afghanistan,2020-03-18,26
Afghanistan,2020-03-19,26
Afghanistan,2020-03-20,24
Afghanistan,2020-03-21,24
Afghanistan,2020-03-22,34
Afghanistan,2020-03-23,40
Afghanistan,2020-03-24,42
Afghanistan,2020-03-25,74
Afghanistan,2020-03-26,80
Afghanistan,2020-03-27,91
Afghanistan,2020-03-28,106
Afghanistan,2020-03-29,114
Afghanistan,2020-03-30,114
Afghanistan,2020-03-31,166
Afghanistan,2020-04-01,192
Afghanistan,2020-04-02,235
Afghanistan,2020-04-03,269
Afghanistan,2020-04-04,270
Afghanistan,2020-04-05,299
Afghanistan,2020-04-06,337
Afghanistan,2020-04-07,367
Afghanistan,2020-04-08,423
Afghanistan,2020-04-09,444
Afghanistan,2020-04-10,521
Afghanistan,2020-04-11,521
Afghanistan,2020-04-12,555
Afghanistan,2020-04-13,607
Afghanistan,2020-04-14,665
Afghanistan,2020-04-15,770
Afghanistan,2020-04-16,794
Afghanistan,2020-04-17,845
Afghanistan,2020-04-18,908
Afghanistan,2020-04-19,933
Afghanistan,2020-04-20,996
Afghanistan,2020-04-21,1026
Afghanistan,2020-04-22,1092
Afghanistan,2020-04-23,1176
Afghanistan,2020-04-24,1226
Afghanistan,2020-04-25,1330
Afghanistan,2020-04-26,1463
Afghanistan,2020-04-27,1531
Afghanistan,2020-04-28,1703
Afghanistan,2020-04-29,1827
Afghanistan,2020-04-30,1827
Afghanistan,2020-05-01,2171
Afghanistan,2020-05-02,2469
Afghanistan,2020-05-03,2469
Afghanistan,2020-05-04,2469
Afghanistan,2020-05-05,2469
Afghanistan,2020-05-06,3224
Afghanistan,2020-05-07,3392
Afghanistan,2020-05-08,3563
Afghanistan,2020-05-09,3563
Afghanistan,2020-05-10,4402
Afghanistan,2020-05-11,4664
Afghanistan,2020-05-12,4967
Afghanistan,2020-05-13,4967
Afghanistan,2020-05-14,5339
Afghanistan,2020-05-15,6053
Afghanistan,2020-05-16,6402
Afghanistan,2020-05-17,6635
Afghanistan,2020-05-18,7072
Afghanistan,2020-05-19,7655
Afghanistan,2020-05-20,8145
Afghanistan,2020-05-21,8676
Afghanistan,2020-05-22,9216
Afghanistan,2020-05-23,9952
Afghanistan,2020-05-24,10668
Afghanistan,2020-05-25,11180
Afghanistan,2020-05-26,11917
Afghanistan,2020-05-27,12465
Afghanistan,2020-05-28,13102
Afghanistan,2020-05-29,13745
Afghanistan,2020-05-30,14529
Afghanistan,2020-05-31,15180
Afghanistan,2020-06-01,15836
Afghanistan,2020-06-02,16578
Afghanistan,2020-06-03,17353
Afghanistan,2020-06-04,17977
Afghanistan,2020-06-05,19055
Afghanistan,2020-06-06,19637
Afghanistan,2020-06-07,20428
Afghanistan,2020-06-08,21003
Afghanistan,2020-06-09,21308
Afghanistan,2020-06-10,22228
Afghanistan,2020-06-11,22976
Afghanistan,2020-06-12,23632
Afghanistan,2020-06-13,24188
Afghanistan,2020-06-14,24852
Afghanistan,2020-06-15,25613
Afghanistan,2020-06-16,25719
Afghanistan,2020-06-17,26960
Afghanistan,2020-06-18,27423
Afghanistan,2020-06-19,27964
Afghanistan,2020-06-20,28383
Afghanistan,2020-06-21,28919
Afghanistan,2020-06-22,29229
Afghanistan,2020-06-23,29567
Afghanistan,2020-06-24,29726
Afghanistan,2020-06-25,30261
Afghanistan,2020-06-26,30346
Afghanistan,2020-06-27,30702
Afghanistan,2020-06-28,31053
Afghanistan,2020-06-29,31324
Afghanistan,2020-06-30,31445
Afghanistan,2020-07-01,31848
Afghanistan,2020-07-02,32108
Afghanistan,2020-07-03,32410
Afghanistan,2020-07-04,32758
Afghanistan,2020-07-05,33037
Afghanistan,2020-07-06,33150
Afghanistan,2020-07-07,33470
Afghanistan,2020-07-08,33680
Afghanistan,2020-07-09,33739
Afghanistan,2020-07-10,34280
Afghanistan,2020-07-11,34437
Afghanistan,2020-07-12,34537
Afghanistan,2020-07-13,34541
Afghanistan,2020-07-14,34826
Afghanistan,2020-07-15,35026
Afghanistan,2020-07-16,35156
Afghanistan,2020-07-17,35315
Afghanistan,2020-07-18,35375
Afghanistan,2020-07-19,35561
Afghanistan,2020-07-20,35595
Afghanistan,2020-07-21,35701
Afghanistan,2020-07-22,35813
Afghanistan,2020-07-23,36001
Afghanistan,2020-07-24,36067
Afghanistan,2020-07-25,36122
Afghanistan,2020-07-26,36243
Afghanistan,2020-07-27,36349
Afghanistan,2020-07-28,36454
Afghanistan,2020-07-29,36557
Afghanistan,2020-07-30,36628
Afghanistan,2020-07-31,36628
Afghanistan,2020-08-01,36796
Afghanistan,2020-08-02,36796
Afghanistan,2020-08-03,36796
Afghanistan,2020-08-04,36833
Afghanistan,2020-08-05,36915
Afghanistan,2020-08-06,36982
Afghanistan,2020-08-07,37023
Afghanistan,2020-08-08,37101
Afghanistan,2020-08-09,37140
Afghanistan,2020-08-10,37140
Afghanistan,2020-08-11,37355
Afghanistan,2020-08-12,37431
Afghanistan,2020-08-13,37510
Afghanistan,2020-08-14,37517
Afghanistan,2020-08-15,37637
Afghanistan,2020-08-16,37682
Afghanistan,2020-08-17,37682
Afghanistan,2020-08-18,37685
Afghanistan,2020-08-19,37685
Afghanistan,2020-08-20,37845
Afghanistan,2020-08-21,37942
Afghanistan,2020-08-22,37980
Afghanistan,2020-08-23,38039
Afghanistan,2020-08-24,38085
Afghanistan,2020-08-25,38156
Afghanistan,2020-08-26,38199
Afghanistan,2020-08-27,38215
Afghanistan,2020-08-28,38226
Afghanistan,2020-08-29,38229
Afghanistan,2020-08-30,38229
Afghanistan,2020-08-31,38248
Afghanistan,2020-09-01,38282
Afghanistan,2020-09-02,38329
Afghanistan,2020-09-03,38374
Afghanistan,2020-09-04,38374
Afghanistan,2020-09-05,38390
Afghanistan,2020-09-06,38484
Afghanistan,2020-09-07,38580
Afghanistan,2020-09-08,38606
Afghanistan,2020-09-09,38630
Afghanistan,2020-09-10,38658
Afghanistan,2020-09-11,38692
Afghanistan,2020-09-12,38727
Afghanistan,2020-09-13,38802
Afghanistan,2020-09-14,38858
Afghanistan,2020-09-15,38901
Afghanistan,2020-09-16,38941
Afghanistan,2020-09-17,38958
Afghanistan,2020-09-18,38969
Afghanistan,2020-09-19,39005
Afghanistan,2020-09-20,39130
Afghanistan,2020-09-21,39160
Afghanistan,2020-09-22,39182
Afghanistan,2020-09-23,39231
Afghanistan,2020-09-24,39256
Afghanistan,2020-09-25,39272
Afghanistan,2020-09-26,39278
Afghanistan,2020-09-27,39313
Afghanistan,2020-09-28,39325
Afghanistan,2020-09-29,39340
Afghanistan,2020-09-30,39354
Afghanistan,2020-10-01,39371
Afghanistan,2020-10-02,39376
Afghanistan,2020-10-03,39383
Afghanistan,2020-10-04,39427
Afghanistan,2020-10-05,39508
Afghanistan,2020-10-06,39572
Afghanistan,2020-10-07,39634
Afghanistan,2020-10-08,39702
Afghanistan,2020-10-09,39779
Afghanistan,2020-10-10,39789
Afghanistan,2020-10-11,39885
Afghanistan,2020-10-12,39956
Afghanistan,2020-10-13,40014
Afghanistan,2020-10-14,40080
Afghanistan,2020-10-15,40112
Afghanistan,2020-10-16,40159
Afghanistan,2020-10-17,40227
Afghanistan,2020-10-18,40286
Afghanistan,2020-10-19,40373
Afghanistan,2020-10-20,40461
Afghanistan,2020-10-21,40461
Afghanistan,2020-10-22,40510
Afghanistan,2020-10-23,40626
Afghanistan,2020-10-24,40687
Afghanistan,2020-10-25,40768
Afghanistan,2020-10-26,40833
Afghanistan,2020-10-27,40937
Afghanistan,2020-10-28,41032
Afghanistan,2020-10-29,41145
Afghanistan,2020-10-30,41268
Afghanistan,2020-10-31,41334
Afghanistan,2020-11-01,41425
Afghanistan,2020-11-02,41501
Afghanistan,2020-11-03,41633
Afghanistan,2020-11-04,41728
Afghanistan,2020-11-05,41814
Afghanistan,2020-11-06,41935
Afghanistan,2020-11-07,41975
Afghanistan,2020-11-08,42033
Afghanistan,2020-11-09,42159
Afghanistan,2020-11-10,42297
Afghanistan,2020-11-11,42463
Afghanistan,2020-11-12,42609
Afghanistan,2020-11-13,42795
Afghanistan,2020-11-14,42969
Afghanistan,2020-11-15,43035
Afghanistan,2020-11-16,43240
Afghanistan,2020-11-17,43403
Afghanistan,2020-11-18,43628
Afghanistan,2020-11-19,43851
Afghanistan,2020-11-20,44228
Afghanistan,2020-11-21,44443
Afghanistan,2020-11-22,44503
Afghanistan,2020-11-23,44706
Afghanistan,2020-11-24,44988
Afghanistan,2020-11-25,45278
Afghanistan,2020-11-26,45490
Afghanistan,2020-11-27,45716
Afghanistan,2020-11-28,45839
Afghanistan,2020-11-29,45966
Afghanistan,2020-11-30,46215
Afghanistan,2020-12-01,46498
Afghanistan,2020-12-02,46717
Afghanistan,2020-12-03,46980
Afghanistan,2020-12-04,47258
Afghanistan,2020-12-05,47388
Afghanistan,2020-12-06,47641
Afghanistan,2020-12-07,47901
Afghanistan,2020-12-08,48136
Afghanistan,2020-12-09,48366
Afghanistan,2020-12-10,48540
Afghanistan,2020-12-11,48753
Afghanistan,2020-12-12,48826
Afghanistan,2020-12-13,48952
Afghanistan,2020-12-14,49273
Afghanistan,2020-12-15,49484
Afghanistan,2020-12-16,49703
Afghanistan,2020-12-17,49927
Afghanistan,2020-12-18,50202
Afghanistan,2020-12-19,50456
Afghanistan,2020-12-20,50536
Afghanistan,2020-12-21,50678
Afghanistan,2020-12-22,50888
Afghanistan,2020-12-23,51070
Afghanistan,2020-12-24,51357
Afghanistan,2020-12-25,51595
Afghanistan,2020-12-26,51764
Afghanistan,2020-12-27,51848
Afghanistan,2020-12-28,52007
Afghanistan,2020-12-29,52147
Afghanistan,2020-12-30,52330
Afghanistan,2020-12-31,52330
Afghanistan,2021-01-01,52513
Afghanistan,2021-01-02,52586
Afghanistan,2021-01-03,52709
Afghanistan,2021-01-04,52909
Afghanistan,2021-01-05,53011
Afghanistan,2021-01-06,53105
Afghanistan,2021-01-07,53207
Afghanistan,2021-01-08,53332
Afghanistan,2021-01-09,53400
Afghanistan,2021-01-10,53489
Afghanistan,2021-01-11,53538
Afghanistan,2021-01-12,53584
Afghanistan,2021-01-13,53690
Afghanistan,2021-01-14,53775
Afghanistan,2021-01-15,53831
Afghanistan,2021-01-16,53938
Afghanistan,2021-01-17,53984
Afghanistan,2021-01-18,54062
Afghanistan,2021-01-19,54141
Afghanistan,2021-01-20,54278
Afghanistan,2021-01-21,54403
Afghanistan,2021-01-22,54483
Afghanistan,2021-01-23,54559
Afghanistan,2021-01-24,54595
Afghanistan,2021-01-25,54672
Afghanistan,2021-01-26,54750
Afghanistan,2021-01-27,54854
Afghanistan,2021-01-28,54891
Afghanistan,2021-01-29,54939
Afghanistan,2021-01-30,55008
Afghanistan,2021-01-31,55023
Afghanistan,2021-02-01,55059
Afghanistan,2021-02-02,55121
Afghanistan,2021-02-03,55174
Afghanistan,2021-02-04,55231
Afghanistan,2021-02-05,55265
Afghanistan,2021-02-06,55330
Afghanistan,2021-02-07,55335
Afghanistan,2021-02-08,55359
Afghanistan,2021-02-09,55384
Afghanistan,2021-02-10,55402
Afghanistan,2021-02-11,55420
Afghanistan,2021-02-12,55445
Afghanistan,2021-02-13,55473
Afghanistan,2021-02-14,55492
Afghanistan,2021-02-15,55514
Afghanistan,2021-02-16,55518
Afghanistan,2021-02-17,55540
Afghanistan,2021-02-18,55557
Afghanistan,2021-02-19,55575
Afghanistan,2021-02-20,55580
Afghanistan,2021-02-21,55604
Afghanistan,2021-02-22,55617
Afghanistan,2021-02-23,55646
Afghanistan,2021-02-24,55664
Afghanistan,2021-02-25,55680
Afghanistan,2021-02-26,55696
Afghanistan,2021-02-27,55707
Afghanistan,2021-02-28,55714
Afghanistan,2021-03-01,55733
Afghanistan,2021-03-02,55759
Afghanistan,2021-03-03,55770
Afghanistan,2021-03-04,55775
Afghanistan,2021-03-05,55827
Afghanistan,2021-03-06,55840
Afghanistan,2021-03-07,55847
Afghanistan,2021-03-08,55876
Afghanistan,2021-03-09,55876
Afghanistan,2021-03-10,55894
Afghanistan,2021-03-11,55917
Afghanistan,2021-03-12,55959
Afghanistan,2021-03-13,55959
Afghanistan,2021-03-14,55985
Afghanistan,2021-03-15,55985
Afghanistan,2021-03-16,55995
Afghanistan,2021-03-17,56016
Afghanistan,2021-03-18,56044
Afghanistan,2021-03-19,56069
Afghanistan,2021-03-20,56093
Afghanistan,2021-03-21,56103
Afghanistan,2021-03-22,56153
Afghanistan,2021-03-23,56177
Afghanistan,2021-03-24,56192
Afghanistan,2021-03-25,56226
Afghanistan,2021-03-26,56254
Afghanistan,2021-03-27,56290
Afghanistan,2021-03-28,56294
Afghanistan,2021-03-29,56322
Afghanistan,2021-03-30,56384
Afghanistan,2021-03-31,56454
Afghanistan,2021-04-01,56517
Afghanistan,2021-04-02,56572
Afghanistan,2021-04-03,56595
Afghanistan,2021-04-04,56676
Afghanistan,2021-04-05,56717
Afghanistan,2021-04-06,56779
Afghanistan,2021-04-07,56873
Afghanistan,2021-04-08,56943
Afghanistan,2021-04-09,57019
Afghanistan,2021-04-10,57144
Afghanistan,2021-04-11,57160
Afghanistan,2021-04-12,57242
Afghanistan,2021-04-13,57364
Afghanistan,2021-04-14,57492
Afghanistan,2021-04-15,57534
Afghanistan,2021-04-16,57612
Afghanistan,2021-04-17,57721
Afghanistan,2021-04-18,57793
Afghanistan,2021-04-19,57898
Afghanistan,2021-04-20,58037
Afghanistan,2021-04-21,58214
Afghanistan,2021-04-22,58312
Afghanistan,2021-04-23,58542
Afghanistan,2021-04-24,58730
Afghanistan,2021-04-25,58843
Afghanistan,2021-04-26,59015
Afghanistan,2021-04-27,59225
Afghanistan,2021-04-28,59370
Afghanistan,2021-04-29,59576
Afghanistan,2021-04-30,59745
Afghanistan,2021-05-01,59939
Afghanistan,2021-05-02,60122
Afghanistan,2021-05-03,60300
Afghanistan,2021-05-04,60563
Afghanistan,2021-05-05,60797
Afghanistan,2021-05-06,61162
Afghanistan,2021-05-07,61455
Afghanistan,2021-05-08,61755
Afghanistan,2021-05-09,61842
Afghanistan,2021-05-10,62063
Afghanistan,2021-05-11,62403
Afghanistan,2021-05-12,62718
Afghanistan,2021-05-13,63045
Afghanistan,2021-05-14,63355
Afghanistan,2021-05-15,63412
Afghanistan,2021-05-16,63484
Afghanistan,2021-05-17,63598
Afghanistan,2021-05-18,63819
Afghanistan,2021-05-19,64122
Afghanistan,2021-05-20,64575
Afghanistan,2021-05-21,65080
Afghanistan,2021-05-22,65486
Afghanistan,2021-05-23,65728
Afghanistan,2021-05-24,66275
Afghanistan,2021-05-25,66903
Afghanistan,2021-05-26,67743
Afghanistan,2021-05-27,68366
Afghanistan,2021-05-28,69130
Afghanistan,2021-05-29,70111
Afghanistan,2021-05-30,70761
Afghanistan,2021-05-31,71838
Afghanistan,2021-06-01,72977
Afghanistan,2021-06-02,74026
Afghanistan,2021-06-03,75119
Afghanistan,2021-06-04,76628
Afghanistan,2021-06-05,77963
Afghanistan,2021-06-06,79224
Afghanistan,2021-06-07,80841
Afghanistan,2021-06-08,82326
Afghanistan,2021-06-09,84050
Afghanistan,2021-06-10,85892
Afghanistan,2021-06-11,87716
Afghanistan,2021-06-12,88740
Afghanistan,2021-06-13,89861
Afghanistan,2021-06-14,91458
Afghanistan,2021-06-15,93272
Afghanistan,2021-06-16,93288
Afghanistan,2021-06-17,96531
Afghanistan,2021-06-18,98734
Afghanistan,2021-06-19,100521
Afghanistan,2021-06-20,101906
Afghanistan,2021-06-21,103902
Afghanistan,2021-06-22,105749
Afghanistan,2021-06-23,107957
Afghanistan,2021-06-24,109532
Afghanistan,2021-06-25,111592
Afghanistan,2021-06-26,113124
Afghanistan,2021-06-27,114220
Afghanistan,2021-06-28,115751
Afghanistan,2021-06-29,117158
Afghanistan,2021-06-30,118659
Afghanistan,2021-07-01,120216
Afghanistan,2021-07-02,122156
Afghanistan,2021-07-03,123485
Afghanistan,2021-07-04,124748
Afghanistan,2021-07-05,125937
Afghanistan,2021-07-06,127464
Afghanistan,2021-07-07,129021
Afghanistan,2021-07-08,130113
Afghanistan,2021-07-09,131586
Afghanistan,2021-07-10,132777
Afghanistan,2021-07-11,133578
Afghanistan,2021-07-12,134653
Afghanistan,2021-07-13,135889
Afghanistan,2021-07-14,136643
Afghanistan,2021-07-15,137853
Afghanistan,2021-07-16,139051
Afghanistan,2021-07-17,140224
Afghanistan,2021-07-18,140602
Afghanistan,2021-07-19,141499
Afghanistan,2021-07-20,142414
Afghanistan,2021-07-21,142762
Afghanistan,2021-07-22,143183
Afghanistan,2021-07-23,143439
Afghanistan,2021-07-24,143666
Afghanistan,2021-07-25,143871
Afghanistan,2021-07-26,144285
Afghanistan,2021-07-27,145008
Afghanistan,2021-07-28,145552
Afghanistan,2021-07-29,145996
Afghanistan,2021-07-30,146523
Afghanistan,2021-07-31,147154
Afghanistan,2021-08-01,147501
Afghanistan,2021-08-02,147985
Afghanistan,2021-08-03,148572
Afghanistan,2021-08-04,148933
Afghanistan,2021-08-05,149361
Afghanistan,2021-08-06,149810
Afghanistan,2021-08-07,150240
Afghanistan,2021-08-08,150458
Afghanistan,2021-08-09,150778
Afghanistan,2021-08-10,151013
Afghanistan,2021-08-11,151291
Afghanistan,2021-08-12,151563
Afghanistan,2021-08-13,151770
Afghanistan,2021-08-14,151941
Afghanistan,2021-08-15,152033
Afghanistan,2021-08-16,152142
Afghanistan,2021-08-17,152243
Afghanistan,2021-08-18,152363
Afghanistan,2021-08-19,152411
Afghanistan,2021-08-20,152448
Afghanistan,2021-08-21,152497
Afghanistan,2021-08-22,152511
Afghanistan,2021-08-23,152583
Afghanistan,2021-08-24,152660
Afghanistan,2021-08-25,152722
Afghanistan,2021-08-26,152822
Afghanistan,2021-08-27,152960
Afghanistan,2021-08-28,153007
Afghanistan,2021-08-29,153033
Afghanistan,2021-08-30,153148
Afghanistan,2021-08-31,153220
Afghanistan,2021-09-01,153260
Afghanistan,2021-09-02,153306
Afghanistan,2021-09-03,153375
Afghanistan,2021-09-04,153395
Afghanistan,2021-09-05,153423
Afghanistan,2021-09-06,153534
Afghanistan,2021-09-07,153626
Afghanistan,2021-09-08,153736
Afghanistan,2021-09-09,153840
Afghanistan,2021-09-10,153962
Afghanistan,2021-09-11,153982
Afghanistan,2021-09-12,153990
Afghanistan,2021-09-13,154094
Afghanistan,2021-09-14,154180
Afghanistan,2021-09-15,154283
Afghanistan,2021-09-16,154361
Afghanistan,2021-09-17,154487
Afghanistan,2021-09-18,154487
Afghanistan,2021-09-19,154487
Afghanistan,2021-09-20,154585
Afghanistan,2021-09-21,154712
